"","entrez_id","symbol","n_exons","length","source","Symbol"
"100033801","100033801","SNORD115-25",1,82,"IGIS","SNORD115-25"
"100033802","100033802","SNORD115-26",1,82,"IGIS","SNORD115-26"
"100033803","100033803","SNORD115-29",1,82,"IGIS","SNORD115-29"
"100033804","100033804","SNORD115-30",1,82,"IGIS","SNORD115-30"
"100033805","100033805","SNORD115-31",1,82,"IGIS","SNORD115-31"
"100033806","100033806","SNORD115-32",1,82,"IGIS","SNORD115-32"
"100033807","100033807","SNORD115-33",1,82,"IGIS","SNORD115-33"
"100033808","100033808","SNORD115-34",1,82,"IGIS","SNORD115-34"
"100033809","100033809","SNORD115-35",1,82,"IGIS","SNORD115-35"
"100033810","100033810","SNORD115-36",1,82,"IGIS","SNORD115-36"
"100033811","100033811","SNORD115-37",1,82,"IGIS","SNORD115-37"
"100033812","100033812","SNORD115-38",1,82,"IGIS","SNORD115-38"
"100033813","100033813","SNORD115-39",1,82,"IGIS","SNORD115-39"
"100033814","100033814","SNORD115-40",1,82,"IGIS","SNORD115-40"
"100033815","100033815","SNORD115-41",1,82,"IGIS","SNORD115-41"
"100033816","100033816","SNORD115-42",1,82,"IGIS","SNORD115-42"
"100033817","100033817","SNORD115-43",1,82,"IGIS","SNORD115-43"
"100033818","100033818","SNORD115-44",1,82,"IGIS","SNORD115-44"
"100033819","100033819","MIR675",1,73,"IGIS","MIR675"
"100033820","100033820","SNORD116-28",1,93,"IGIS","SNORD116-28"
"100033821","100033821","SNORD116-29",1,85,"IGIS","SNORD116-29"
"100033822","100033822","SNORD115-48",1,76,"IGIS","SNORD115-48"
"100034743","100034743","PDZK1P2",10,2129,"IGIS","PDZK1P2"
"100036563","100036563","SNORD115-24",1,71,"IGIS","SNORD115-24"
"100036564","100036564","SNORD115-27",1,76,"IGIS","SNORD115-27"
"100036565","100036565","SNORD115-28",1,74,"IGIS","SNORD115-28"
"100036566","100036566","SNORD115-45",1,53,"IGIS","SNORD115-45"
"100036567","100036567","SNORD115-47",1,33,"IGIS","SNORD115-47"
"100037417","100037417","DDTL",8,4353,"IGIS","DDTL"
"100038246","100038246","TLX1NB",3,1882,"IGIS","TLX1NB"
"10004","10004","NAALADL1",18,2687,"IGIS","NAALADL1"
"100048912","100048912","CDKN2B-AS1",25,5449,"IGIS","CDKN2B-AS1"
"100049076","100049076","GUSBP9",3,504,"IGIS","GUSBP9"
"100049587","100049587","SIGLEC14",9,2254,"IGIS","SIGLEC14"
"100049716","100049716","LOC100049716",5,2338,"IGIS","LOC100049716"
"10005","10005","ACOT8",15,3053,"IGIS","ACOT8"
"10006","10006","ABI1",17,5279,"IGIS","ABI1"
"10007","10007","GNPDA1",11,4256,"IGIS","GNPDA1"
"100073347","100073347","MIMT1",2,1288,"IGIS","MIMT1"
"10008","10008","KCNE3",3,3070,"IGIS","KCNE3"
"10009","10009","ZBTB33",4,5534,"IGIS","ZBTB33"
"100093630","100093630","SNHG8",5,844,"IGIS","SNHG8"
"100093631","100093631","LOC100093631",24,3636,"IGIS","LOC100093631"
"100093698","100093698","GS1-600G8.3",17,2249,"IGIS","GS1-600G8.3"
"1001","1001","CDH3",16,4276,"IGIS","CDH3"
"10010","10010","TANK",20,5566,"IGIS","TANK"
"100101115","100101115","TTTY21B",2,307,"IGIS","TTTY21B"
"100101116","100101116","TTTY1B",5,940,"IGIS","TTTY1B"
"100101117","100101117","TTTY2B",8,1633,"IGIS","TTTY2B"
"100101118","100101118","TTTY8B",3,531,"IGIS","TTTY8B"
"100101120","100101120","TTTY7B",6,1111,"IGIS","TTTY7B"
"100101121","100101121","TTTY23B",3,512,"IGIS","TTTY23B"
"100101148","100101148","LOC100101148",4,875,"IGIS","LOC100101148"
"100101266","100101266","HAVCR1P1",1,1255,"IGIS","HAVCR1P1"
"100101267","100101267","POM121C",18,9345,"IGIS","POM121C"
"100101440","100101440","PMS2P7",12,1336,"external","PMS2P7"
"100101467","100101467","ZSCAN30",12,11816,"IGIS","ZSCAN30"
"100101478","100101478","LOC100101478",8,1958,"external","LOC100101478"
"100101490","100101490","MCTS2P",1,839,"IGIS","MCTS2P"
"100101629","100101629","GAGE8",5,520,"IGIS","GAGE8"
"100101938","100101938","ANKRD26P3",21,3726,"IGIS","ANKRD26P3"
"10011","10011","SRA1",12,4578,"IGIS","SRA1"
"100113378","100113378","SNORD119",1,96,"IGIS","SNORD119"
"100113379","100113379","SNORD121A",1,91,"IGIS","SNORD121A"
"100113380","100113380","SNORD125",1,96,"IGIS","SNORD125"
"100113381","100113381","SNORD19B",1,93,"IGIS","SNORD19B"
"100113382","100113382","SNORD105B",1,92,"IGIS","SNORD105B"
"100113384","100113384","SNORD123",1,88,"IGIS","SNORD123"
"100113386","100113386","UCKL1-AS1",2,3571,"IGIS","UCKL1-AS1"
"100113389","100113389","SNORD127",1,101,"IGIS","SNORD127"
"100113391","100113391","SNORD126",1,99,"IGIS","SNORD126"
"100113392","100113392","SNORD11B",1,112,"IGIS","SNORD11B"
"100113393","100113393","SNORD12B",1,103,"IGIS","SNORD12B"
"100113402","100113402","SNORD111B",1,101,"IGIS","SNORD111B"
"100113403","100113403","LINC00577",3,575,"IGIS","LINC00577"
"100113404","100113404","LINC00583",3,384,"IGIS","LINC00583"
"100113407","100113407","TMEM170B",3,8413,"IGIS","TMEM170B"
"100124412","100124412","FAM138E",3,1130,"IGIS","FAM138E"
"100124516","100124516","SNORD58C",1,90,"IGIS","SNORD58C"
"100124533","100124533","SCARNA27",1,126,"IGIS","SCARNA27"
"100124534","100124534","SNORA84",1,133,"IGIS","SNORA84"
"100124535","100124535","SNORA36C",1,128,"IGIS","SNORA36C"
"100124536","100124536","SNORA38B",1,132,"IGIS","SNORA38B"
"100124537","100124537","SNORA70B",1,134,"IGIS","SNORA70B"
"100124538","100124538","SNORA70C",1,136,"IGIS","SNORA70C"
"100124539","100124539","SNORA11B",1,127,"IGIS","SNORA11B"
"100124540","100124540","SNORA11C",1,127,"IGIS","SNORA11C"
"100124541","100124541","SNORA11D",1,127,"IGIS","SNORA11D"
"100124700","100124700","HOTAIR",9,2839,"IGIS","HOTAIR"
"100125288","100125288","ZGLP1",4,1980,"IGIS","ZGLP1"
"100125556","100125556","FAM86JP",6,2160,"IGIS","FAM86JP"
"100125918","100125918","LOC100125918",9,903,"IGIS","LOC100125918"
"100126270","100126270","FMR1-AS1",8,6280,"IGIS","FMR1-AS1"
"100126296","100126296","MIR298",1,88,"IGIS","MIR298"
"100126297","100126297","MIR300",1,83,"IGIS","MIR300"
"100126299","100126299","VTRNA2-1",1,100,"IGIS","VTRNA2-1"
"100126301","100126301","MIR509-2",1,91,"IGIS","MIR509-2"
"100126302","100126302","MIR450B",1,78,"IGIS","MIR450B"
"100126303","100126303","MIR890",1,77,"IGIS","MIR890"
"100126304","100126304","MIR891B",1,79,"IGIS","MIR891B"
"100126306","100126306","MIR888",1,77,"IGIS","MIR888"
"100126307","100126307","MIR892B",1,77,"IGIS","MIR892B"
"100126308","100126308","MIR541",1,84,"IGIS","MIR541"
"100126309","100126309","MIR875",1,76,"IGIS","MIR875"
"100126310","100126310","MIR876",1,81,"IGIS","MIR876"
"100126311","100126311","MIR147B",1,80,"IGIS","MIR147B"
"100126313","100126313","MIR744",1,98,"IGIS","MIR744"
"100126314","100126314","MIR877",1,86,"IGIS","MIR877"
"100126315","100126315","MIR665",1,72,"IGIS","MIR665"
"100126316","100126316","MIR873",1,77,"IGIS","MIR873"
"100126317","100126317","MIR374B",1,72,"IGIS","MIR374B"
"100126318","100126318","MIR301B",1,78,"IGIS","MIR301B"
"100126319","100126319","MIR216B",1,82,"IGIS","MIR216B"
"100126320","100126320","MIR920",1,75,"IGIS","MIR920"
"100126321","100126321","MIR922",1,81,"IGIS","MIR922"
"100126323","100126323","MIR924",1,53,"IGIS","MIR924"
"100126324","100126324","MIR934",1,83,"IGIS","MIR934"
"100126325","100126325","MIR935",1,91,"IGIS","MIR935"
"100126326","100126326","MIR936",1,98,"IGIS","MIR936"
"100126327","100126327","MIR938",1,83,"IGIS","MIR938"
"100126328","100126328","MIR940",1,94,"IGIS","MIR940"
"100126329","100126329","MIR941-1",1,117,"IGIS","MIR941-1"
"100126330","100126330","MIR941-4",1,117,"IGIS","MIR941-4"
"100126331","100126331","MIR942",1,86,"IGIS","MIR942"
"100126332","100126332","MIR943",1,94,"IGIS","MIR943"
"100126333","100126333","MIR708",1,88,"IGIS","MIR708"
"100126334","100126334","MIR885",1,74,"IGIS","MIR885"
"100126335","100126335","MIR543",1,78,"IGIS","MIR543"
"100126336","100126336","MIR208B",1,77,"IGIS","MIR208B"
"100126337","100126337","MIR509-3",1,75,"IGIS","MIR509-3"
"100126338","100126338","MIR937",1,86,"IGIS","MIR937"
"100126339","100126339","MIR941-2",1,117,"IGIS","MIR941-2"
"100126340","100126340","MIR944",1,88,"IGIS","MIR944"
"100126341","100126341","MIR891A",1,79,"IGIS","MIR891A"
"100126342","100126342","MIR892A",1,75,"IGIS","MIR892A"
"100126343","100126343","MIR874",1,78,"IGIS","MIR874"
"100126345","100126345","MIR889",1,79,"IGIS","MIR889"
"100126346","100126346","MIR190B",1,79,"IGIS","MIR190B"
"100126347","100126347","MIR887",1,79,"IGIS","MIR887"
"100126348","100126348","MIR760",1,80,"IGIS","MIR760"
"100126349","100126349","MIR921",1,56,"IGIS","MIR921"
"100126350","100126350","MIR933",1,77,"IGIS","MIR933"
"100126351","100126351","MIR939",1,82,"IGIS","MIR939"
"100126352","100126352","MIR941-3",1,117,"IGIS","MIR941-3"
"100126354","100126354","MIR297",1,66,"IGIS","MIR297"
"100126355","100126355","MIR365A",1,87,"IGIS","MIR365A"
"100126356","100126356","MIR365B",1,111,"IGIS","MIR365B"
"100126447","100126447","LOC100126447",6,1956,"IGIS","LOC100126447"
"100126582","100126582","LOC100126582",2,4688,"IGIS","LOC100126582"
"100126584","100126584","LOC100126584",12,2676,"IGIS","LOC100126584"
"100126693","100126693","LINC00322",3,907,"IGIS","LINC00322"
"100126780","100126780","SNAR-G1",1,128,"IGIS","SNAR-G1"
"100126781","100126781","SNAR-F",1,123,"IGIS","SNAR-F"
"100126784","100126784","LOC100126784",1,3739,"IGIS","LOC100126784"
"100126791","100126791","EGOT",2,1464,"IGIS","EGOT"
"100126793","100126793","GHRLOS",12,3647,"IGIS","GHRLOS"
"100126798","100126798","SNAR-A1",1,122,"IGIS","SNAR-A1"
"100126799","100126799","SNAR-A2",1,122,"IGIS","SNAR-A2"
"100126800","100126800","SNAR-A12",1,122,"IGIS","SNAR-A12"
"100127206","100127206","KIAA1024L",3,573,"IGIS","KIAA1024L"
"100127888","100127888","SLCO4A1-AS1",4,1423,"IGIS","SLCO4A1-AS1"
"100127889","100127889","C10orf131",8,1176,"IGIS","C10orf131"
"100127950","100127950","HECW1-IT1",7,1839,"external","HECW1-IT1"
"100127967","100127967","KRT73-AS1",6,7616,"IGIS","KRT73-AS1"
"100127974","100127974","LOC100127974",9,846,"IGIS","LOC100127974"
"100127983","100127983","C8orf88",6,1053,"IGIS","C8orf88"
"100128002","100128002","LOC100128002",2,5760,"IGIS","LOC100128002"
"100128006","100128006","LOC100128006",2,3727,"IGIS","LOC100128006"
"100128023","100128023","DPPA2P3",1,1146,"IGIS","DPPA2P3"
"100128025","100128025","WWTR1-AS1",3,1700,"IGIS","WWTR1-AS1"
"100128054","100128054","PLCE1-AS1",4,1408,"IGIS","PLCE1-AS1"
"100128055","100128055","SMARCA5-AS1",2,1147,"IGIS","SMARCA5-AS1"
"100128071","100128071","FAM229A",3,699,"IGIS","FAM229A"
"100128076","100128076","LOC100128076",13,2012,"IGIS","LOC100128076"
"100128079","100128079","LOC100128079",12,3677,"IGIS","LOC100128079"
"100128081","100128081","JAZF1-AS1",4,1194,"IGIS","JAZF1-AS1"
"100128098","100128098","ST8SIA6-AS1",3,557,"IGIS","ST8SIA6-AS1"
"100128108","100128108","LOC100128108",34,5937,"IGIS","LOC100128108"
"100128124","100128124","HGC6.3",1,1016,"IGIS","HGC6.3"
"100128126","100128126","STAU2-AS1",3,2068,"IGIS","STAU2-AS1"
"100128127","100128127","LOC100128127",6,6541,"IGIS","LOC100128127"
"100128139","100128139","LINC01233",13,4493,"IGIS","LINC01233"
"100128164","100128164","LOC100128164",3,7012,"IGIS","LOC100128164"
"100128176","100128176","LOC100128176",3,2083,"IGIS","LOC100128176"
"100128191","100128191","TMPO-AS1",2,3161,"IGIS","TMPO-AS1"
"100128233","100128233","LOC100128233",4,1442,"IGIS","LOC100128233"
"100128239","100128239","LOC100128239",3,2299,"IGIS","LOC100128239"
"100128252","100128252","ZNF667-AS1",3,1936,"IGIS","ZNF667-AS1"
"100128264","100128264","HTR5AOS",2,2703,"IGIS","HTR5AOS"
"100128276","100128276","LOC100128276",9,2205,"IGIS","LOC100128276"
"100128285","100128285","DNM1P35",5,3567,"IGIS","DNM1P35"
"100128288","100128288","LOC100128288",1,2129,"IGIS","LOC100128288"
"100128292","100128292","DLG5-AS1",1,3014,"IGIS","DLG5-AS1"
"100128317","100128317","LOC100128317",35,17282,"IGIS","LOC100128317"
"100128325","100128325","LOC100128325",6,1506,"IGIS","LOC100128325"
"100128327","100128327","TRAPPC3L",5,1113,"IGIS","TRAPPC3L"
"100128338","100128338","FAM83H-AS1",4,2737,"IGIS","FAM83H-AS1"
"100128340","100128340","LOC100128340",27,8007,"IGIS","LOC100128340"
"100128361","100128361","LOC100128361",1,2484,"IGIS","LOC100128361"
"100128364","100128364","LOC100128364",1,2304,"IGIS","LOC100128364"
"100128374","100128374","LOC100128374",6,6594,"IGIS","LOC100128374"
"100128378","100128378","LINC00696",1,3019,"IGIS","LINC00696"
"100128385","100128385","FAM225B",3,5806,"IGIS","FAM225B"
"100128386","100128386","LOC100128386",2,1866,"external","LOC100128386"
"100128398","100128398","LOC100128398",4,1897,"IGIS","LOC100128398"
"100128420","100128420","LINC00892",4,756,"IGIS","LINC00892"
"100128482","100128482","LOC100128482",1,2845,"IGIS","LOC100128482"
"100128494","100128494","LOC100128494",4,4233,"IGIS","LOC100128494"
"100128496","100128496","C20orf78",3,648,"IGIS","C20orf78"
"100128505","100128505","ASTN2-AS1",12,1756,"IGIS","ASTN2-AS1"
"100128511","100128511","NEBL-AS1",3,632,"IGIS","NEBL-AS1"
"100128531","100128531","LOC100128531",5,973,"IGIS","LOC100128531"
"100128537","100128537","C1orf132",6,2251,"external","C1orf132"
"100128553","100128553","CTAGE4",1,2626,"IGIS","CTAGE4"
"100128554","100128554","LOC100128554",13,2629,"IGIS","LOC100128554"
"100128560","100128560","MYHAS",53,33999,"IGIS","MYHAS"
"100128568","100128568","LOC100128568",4,639,"IGIS","LOC100128568"
"100128569","100128569","C19orf71",10,3363,"IGIS","C19orf71"
"100128573","100128573","LOC100128573",1,525,"IGIS","LOC100128573"
"100128575","100128575","LOC100128575",4,300,"IGIS","LOC100128575"
"100128590","100128590","SLC8A1-AS1",5,1002,"IGIS","SLC8A1-AS1"
"100128593","100128593","LOC100128593",3,2702,"IGIS","LOC100128593"
"100128594","100128594","LL0XNC01-116E7.2",3,594,"IGIS","LL0XNC01-116E7.2"
"100128627","100128627","CDC42P3",1,1836,"IGIS","CDC42P3"
"100128640","100128640","ACVR2B-AS1",2,2517,"IGIS","ACVR2B-AS1"
"100128653","100128653","LOC100128653",3,7281,"IGIS","LOC100128653"
"100128675","100128675","HPN-AS1",7,4660,"IGIS","HPN-AS1"
"100128682","100128682","LOC100128682",5,3312,"IGIS","LOC100128682"
"100128688","100128688","GPR50-AS1",3,1614,"external","GPR50-AS1"
"100128714","100128714","LOC100128714",5,1967,"IGIS","LOC100128714"
"100128731","100128731","OST4",3,487,"IGIS","OST4"
"100128750","100128750","RBPMS-AS1",3,909,"IGIS","RBPMS-AS1"
"100128770","100128770","LOC100128770",8,3061,"IGIS","LOC100128770"
"100128782","100128782","LINC00476",6,9284,"IGIS","LINC00476"
"100128787","100128787","LINC01349",5,824,"IGIS","LINC01349"
"100128788","100128788","SRRM2-AS1",9,1704,"IGIS","SRRM2-AS1"
"100128811","100128811","GPR158-AS1",2,2433,"IGIS","GPR158-AS1"
"100128818","100128818","LPEQ6126",4,8801,"IGIS","LPEQ6126"
"100128822","100128822","LINC01003",1,1422,"IGIS","LINC01003"
"100128830","100128830","LINC01165",1,1743,"IGIS","LINC01165"
"100128881","100128881","VPS9D1-AS1",4,1753,"IGIS","VPS9D1-AS1"
"100128882","100128882","LOC100128882",7,3370,"IGIS","LOC100128882"
"100128885","100128885","LOC100128885",3,4369,"IGIS","LOC100128885"
"100128890","100128890","FAM66B",7,1432,"IGIS","FAM66B"
"100128893","100128893","GATA6-AS1",2,1788,"IGIS","GATA6-AS1"
"100128905","100128905","LOC100128905",3,5619,"IGIS","LOC100128905"
"100128908","100128908","LOC100128908",33,5202,"IGIS","LOC100128908"
"100128927","100128927","ZBTB42",2,3637,"IGIS","ZBTB42"
"100128946","100128946","LINC01310",7,4015,"IGIS","LINC01310"
"100128966","100128966","LOC100128966",12,1653,"IGIS","LOC100128966"
"100128977","100128977","MAPT-AS1",2,840,"IGIS","MAPT-AS1"
"100128988","100128988","LOC100128988",2,1594,"IGIS","LOC100128988"
"100128993","100128993","LOC100128993",5,1013,"IGIS","LOC100128993"
"100128998","100128998","C20orf181",13,2517,"IGIS","C20orf181"
"100129027","100129027","LOC100129027",3,3586,"IGIS","LOC100129027"
"100129029","100129029","LOC100129029",4,4067,"external","LOC100129029"
"100129034","100129034","LOC100129034",1,5714,"IGIS","LOC100129034"
"100129046","100129046","LOC100129046",4,1562,"IGIS","LOC100129046"
"100129055","100129055","LOC100129055",7,2775,"IGIS","LOC100129055"
"100129060","100129060","SEMA3F-AS1",4,2755,"external","SEMA3F-AS1"
"100129066","100129066","UNQ6494",6,2194,"IGIS","UNQ6494"
"100129075","100129075","KTN1-AS1",3,1512,"IGIS","KTN1-AS1"
"100129083","100129083","LOC100129083",3,729,"IGIS","LOC100129083"
"100129094","100129094","BTNL10",3,780,"IGIS","BTNL10"
"100129098","100129098","LOC100129098",5,4584,"IGIS","LOC100129098"
"100129128","100129128","KHDC1L",3,635,"IGIS","KHDC1L"
"100129129","100129129","LOC100129129",2,1099,"IGIS","LOC100129129"
"100129138","100129138","LOC100129138",2,1224,"IGIS","LOC100129138"
"100129148","100129148","LOC100129148",3,461,"IGIS","LOC100129148"
"100129175","100129175","LOC100129175",3,1993,"IGIS","LOC100129175"
"100129195","100129195","ZSCAN16-AS1",3,2186,"IGIS","ZSCAN16-AS1"
"100129196","100129196","MATN1-AS1",4,2050,"IGIS","MATN1-AS1"
"100129203","100129203","LOC100129203",6,1960,"IGIS","LOC100129203"
"100129213","100129213","SLC39A12-AS1",5,1966,"IGIS","SLC39A12-AS1"
"100129215","100129215","LOC100129215",3,7833,"IGIS","LOC100129215"
"100129216","100129216","LOC100129216",2,213,"IGIS","LOC100129216"
"100129223","100129223","LOC100129223",4,11958,"IGIS","LOC100129223"
"100129239","100129239","CXorf51A",2,438,"IGIS","CXorf51A"
"100129250","100129250","TOPORS-AS1",6,1806,"IGIS","TOPORS-AS1"
"100129269","100129269","LINC01160",5,1542,"IGIS","LINC01160"
"100129271","100129271","C1orf68",1,908,"IGIS","C1orf68"
"100129278","100129278","TDRD15",9,2145,"IGIS","TDRD15"
"100129307","100129307","LOC100129307",3,3753,"IGIS","LOC100129307"
"100129316","100129316","LOC100129316",4,5249,"IGIS","LOC100129316"
"100129345","100129345","LOC100129345",4,1670,"IGIS","LOC100129345"
"100129347","100129347","LINC00484",3,454,"external","LINC00484"
"100129354","100129354","NRADDP",4,1012,"IGIS","NRADDP"
"100129361","100129361","LOC100129361",1,4840,"IGIS","LOC100129361"
"100129385","100129385","C9orf92",10,815,"IGIS","C9orf92"
"100129387","100129387","GABPB1-AS1",1,4139,"IGIS","GABPB1-AS1"
"100129396","100129396","FAM106CP",1,1759,"IGIS","FAM106CP"
"100129405","100129405","MSTO2P",13,2231,"IGIS","MSTO2P"
"100129407","100129407","LINC00684",3,465,"IGIS","LINC00684"
"100129424","100129424","RPL19P12",1,1134,"IGIS","RPL19P12"
"100129427","100129427","DDC-AS1",5,1776,"IGIS","DDC-AS1"
"100129434","100129434","LOC100129434",17,10422,"IGIS","LOC100129434"
"100129455","100129455","LOC100129455",3,5478,"IGIS","LOC100129455"
"100129460","100129460","DPY19L1P1",17,1903,"IGIS","DPY19L1P1"
"100129461","100129461","LOC100129461",16,9482,"IGIS","LOC100129461"
"100129464","100129464","CXorf28",3,674,"IGIS","CXorf28"
"100129473","100129473","LOC100129473",3,4059,"IGIS","LOC100129473"
"100129476","100129476","LOC100129476",6,1677,"IGIS","LOC100129476"
"100129480","100129480","MKRN2OS",7,2078,"IGIS","MKRN2OS"
"100129482","100129482","ZNF37BP",8,8675,"IGIS","ZNF37BP"
"100129484","100129484","LOC100129484",1,3732,"IGIS","LOC100129484"
"100129503","100129503","PP13",1,1786,"IGIS","PP13"
"100129515","100129515","LINC00633",3,632,"IGIS","LINC00633"
"100129516","100129516","LOC100129516",4,4748,"IGIS","LOC100129516"
"100129518","100129518","LOC100129518",2,1718,"IGIS","LOC100129518"
"100129520","100129520","LOC100129520",3,7769,"IGIS","LOC100129520"
"100129528","100129528","MUC8",9,3288,"IGIS","MUC8"
"100129534","100129534","LOC100129534",1,2248,"IGIS","LOC100129534"
"100129543","100129543","ZNF730",9,5571,"IGIS","ZNF730"
"100129550","100129550","LOC100129550",1,5904,"IGIS","LOC100129550"
"100129583","100129583","FAM47E",11,2203,"IGIS","FAM47E"
"100129597","100129597","LINC00462",3,1023,"IGIS","LINC00462"
"100129603","100129603","LOC100129603",13,4559,"IGIS","LOC100129603"
"100129617","100129617","LOC100129617",1,1923,"IGIS","LOC100129617"
"100129620","100129620","LOC100129620",3,2544,"IGIS","LOC100129620"
"100129636","100129636","LOC100129636",10,1789,"IGIS","LOC100129636"
"100129637","100129637","",6,12405,"IGIS",""
"100129654","100129654","TCF24",4,2450,"IGIS","TCF24"
"100129662","100129662","FGF13-AS1",3,837,"IGIS","FGF13-AS1"
"100129669","100129669","IZUMO3",12,1486,"IGIS","IZUMO3"
"100129697","100129697","LOC100129697",9,7519,"IGIS","LOC100129697"
"100129716","100129716","ARRDC3-AS1",3,2502,"IGIS","ARRDC3-AS1"
"100129722","100129722","C9orf173-AS1",4,1701,"IGIS","C9orf173-AS1"
"100129726","100129726","LINC01126",1,1645,"IGIS","LINC01126"
"100129781","100129781","LOC100129781",29,8000,"IGIS","LOC100129781"
"100129792","100129792","CCDC152",9,3491,"IGIS","CCDC152"
"100129794","100129794","SLC25A21-AS1",1,1769,"IGIS","SLC25A21-AS1"
"100129800","100129800","ZNF807",9,6849,"IGIS","ZNF807"
"100129827","100129827","MRVI1-AS1",6,1104,"IGIS","MRVI1-AS1"
"100129836","100129836","COL4A2-AS2",5,2216,"IGIS","COL4A2-AS2"
"100129842","100129842","ZNF737",26,17615,"IGIS","ZNF737"
"100129845","100129845","PCOLCE-AS1",9,2538,"IGIS","PCOLCE-AS1"
"100129858","100129858","SCOC-AS1",5,2017,"IGIS","SCOC-AS1"
"100129860","100129860","LOC100129860",2,564,"IGIS","LOC100129860"
"100129917","100129917","LOC100129917",3,2317,"IGIS","LOC100129917"
